"","","","","","","","Europe ","","","","","","",
"","All ","","","Northwestern ","Europe ","","","Central Europe ","","Eastern ","Europe ","Southern ","Europe ",
"Year ","countries ","Total ","Great Britain ","Ireland ","Scandi- navia ","Other North- western 4 ","iermany ","Poland ","Other entral ","U.S.S.R. and Baltic. States ","Other Eastern ","Italy ","Other Southern ",
"1837 1836 ","79,340 76.242 ","71,089 70.465 ","12.218 13,106 ","28.508 30,578 ","399 473 ","5,769 6,189 ","28.740 20,707 ","81 53 ","","19 2 ","3 ","36 115 ","269 239 ",
"1835. ","45,374 ","41,987 ","8,970 ","20,927 ","68 ","3 369 ","8,311 ","54 ","","9 ","- ","","219 ",
"1834 ","65.365 ","37,510 ","10,490 ","24,474 ","66 ","4'468 ","17.686 ","54 ","","15 ","1 ","1% ","151 ",
"1838 1832 ","58,640 60 482 ","29'111 341193 ","4,916 5,331 2,475 ","8.648 12,436 6,772 ","189 334 36 ","5,8356 5,69 2.277 ","6.988 10,194 2,413 ","1 34 ","","159 52 1 ","1 - - ","1,699 3 28 ","1,155 114 37 ",
"1330 ","23,322 ","7.217 ","1,153 ","2.721 ","19 ","1,305 ","1,976 ","2 ","","3 ","2 ","9 ","27 ",
"1829 1828 1827 ","22,520 27.382 18.876 ","12.523 24,729 16,719 ","3,179 5,352 4,186 ","7,415 12,488 9,766 ","30 60 28 ","1,065 4,700 1,829 ","597 1.851 432 ","1 1 ","","1 7 19 ","1 6 1 ","23 34 35 ","212 230 422 ",
"1826 ","10,837 ","9,761 ","2,819 ","5,408 ","26 ","968 ","511 ","","","4 ","2 ","57 ","456 ",
"1825 ","10 199 ","8,543 ","2.095 ","4,888 ","18 ","719 ","450 ","1 ","","10 ","","75 ","287 ",
"1824 1823 ","73912 6,364 ","4,965 4'016 ","1.264 1100 ","2.345 1908 ","20 7 ","671 528 ","230 183 ","4 3 ","","7 7 ","2 2 ","45 33 ","377 245 ",
"1822 1821 ","6,911 ","4'418 ","1'221 ","2'267. ","28 24 ","522 ","148 ","3 ","","10 ","4 ","35 ","180 ",
"1820 ","9,127 8,385 ","5,996 7,691 ","3,210 2,410 ","1,518 3,614 ","23 ","521 452 ","383 968 ","1 5 ","","14 ","1 ","63 30 ","209 174 ",
